datetime,current_mcp,predicted_dam_price,actual_dam_price,error,abs_error,correct_prediction
2019-01-02 05:00:00,2124.48,2274.67724609375,1953.06,-321.61724609375005,321.61724609375005,False
2019-01-02 05:15:00,2270.71,2283.27978515625,1999.15,-284.1297851562499,284.1297851562499,False
2019-01-02 05:30:00,1999.92,2274.67724609375,1899.62,-375.0572460937501,375.0572460937501,False
2019-01-02 05:45:00,2220.99,2274.67724609375,1830.87,-443.8072460937501,443.8072460937501,False
2019-01-02 06:00:00,2991.0,2635.859375,1999.43,-636.4293749999999,636.4293749999999,True
2019-01-02 06:15:00,3411.17,2886.432861328125,3000.67,114.23713867187507,114.23713867187507,True
2019-01-02 06:30:00,3566.85,2998.235107421875,3174.65,176.4148925781251,176.4148925781251,True
2019-01-02 06:45:00,3842.95,3271.50634765625,3549.02,277.51365234375,277.51365234375,True
2019-01-02 07:00:00,3979.7,3395.46435546875,3667.77,272.30564453125,272.30564453125,True
2019-01-02 07:15:00,3990.34,3395.46435546875,3682.74,287.2756445312498,287.2756445312498,True
2019-01-02 07:30:00,4942.96,4157.44384765625,4068.03,-89.4138476562498,89.4138476562498,True
2019-01-02 07:45:00,5485.82,4531.5185546875,4400.35,-131.16855468749964,131.16855468749964,True
2019-01-02 08:00:00,6500.01,5359.353515625,4921.96,-437.39351562499996,437.39351562499996,True
2019-01-02 08:15:00,5795.0,4970.3515625,4800.99,-169.36156250000022,169.36156250000022,True
2019-01-02 08:30:00,6202.75,4943.98095703125,4544.3,-399.6809570312498,399.6809570312498,True
2019-01-02 08:45:00,5814.92,4960.43017578125,4750.19,-210.2401757812504,210.2401757812504,True
2019-01-02 09:00:00,6562.33,5394.53662109375,5050.81,-343.7266210937496,343.7266210937496,True
2019-01-02 09:15:00,5507.34,4531.5185546875,4999.72,468.20144531250025,468.20144531250025,True
2019-01-02 09:30:00,5250.85,4333.55078125,4990.76,657.2092187500002,657.2092187500002,True
2019-01-02 09:45:00,5500.34,4531.5185546875,4990.55,459.0314453125002,459.0314453125002,True
2019-01-02 10:00:00,5100.16,4276.89599609375,4999.09,722.1940039062501,722.1940039062501,True
2019-01-02 10:15:00,4999.2,4163.2177734375,4999.46,836.2422265625,836.2422265625,False
2019-01-02 10:30:00,4942.94,4157.44384765625,4990.55,833.1061523437502,833.1061523437502,False
2019-01-02 10:45:00,4942.94,4168.47314453125,4990.64,822.1668554687503,822.1668554687503,False
2019-01-02 11:00:00,4000.25,3418.96923828125,4510.52,1091.5507617187504,1091.5507617187504,False
2019-01-02 11:15:00,4510.99,3680.03515625,4853.5,1173.46484375,1173.46484375,False
2019-01-02 11:30:00,4000.05,3418.96923828125,4300.55,881.5807617187502,881.5807617187502,False
2019-01-02 11:45:00,3800.1,3257.986083984375,3999.27,741.283916015625,741.283916015625,False
2019-01-02 12:00:00,3800.71,3257.986083984375,3980.89,722.9039160156249,722.9039160156249,False
2019-01-02 12:15:00,3667.73,3094.23828125,3950.83,856.5917187499999,856.5917187499999,False
2019-01-02 12:30:00,3597.73,3003.460693359375,3551.6,548.1393066406249,548.1393066406249,True
2019-01-02 12:45:00,3499.9,2959.1572265625,3499.57,540.4127734375002,540.4127734375002,True
2019-01-02 13:00:00,3422.91,2891.933349609375,3117.47,225.5366503906248,225.5366503906248,True
2019-01-02 13:15:00,3279.24,2812.156494140625,3019.9,207.7435058593751,207.7435058593751,True
2019-01-02 13:30:00,3250.85,2786.901611328125,2999.76,212.85838867187522,212.85838867187522,True
2019-01-02 13:45:00,3249.28,2786.901611328125,2910.97,124.0683886718748,124.0683886718748,True
2019-01-02 14:00:00,3120.97,2729.698974609375,2850.57,120.87102539062516,120.87102539062516,True
2019-01-02 14:15:00,3249.61,2786.901611328125,2999.25,212.348388671875,212.348388671875,True
2019-01-02 14:30:00,3279.07,2812.156494140625,2999.45,187.29350585937482,187.29350585937482,True
2019-01-02 14:45:00,3449.18,2916.950927734375,2999.69,82.73907226562505,82.73907226562505,True
2019-01-02 15:00:00,3465.17,2935.447509765625,2999.73,64.28249023437502,64.28249023437502,True
2019-01-02 15:15:00,3470.97,2937.92529296875,3108.57,170.64470703125016,170.64470703125016,True
2019-01-02 15:30:00,3596.8,3003.296875,3151.4,148.1031250000001,148.1031250000001,True
2019-01-02 15:45:00,3793.16,3255.699951171875,3166.9,-88.79995117187491,88.79995117187491,True
2019-01-02 16:00:00,3699.0,3100.917724609375,3400.35,299.4322753906249,299.4322753906249,True
2019-01-02 16:15:00,4068.58,3461.404296875,3500.36,38.95570312500013,38.95570312500013,True
2019-01-02 16:30:00,4779.37,4105.93408203125,3566.38,-539.5540820312499,539.5540820312499,True
2019-01-02 16:45:00,5002.96,4185.51416015625,4068.19,-117.32416015624995,117.32416015624995,True
2019-01-02 17:00:00,4000.54,3418.96923828125,3819.06,400.09076171874995,400.09076171874995,True
2019-01-02 17:15:00,4179.42,3501.017333984375,4000.02,499.002666015625,499.002666015625,True
2019-01-02 17:30:00,4942.27,4160.224609375,4300.14,139.91539062500033,139.91539062500033,True
2019-01-02 17:45:00,5204.22,4336.33154296875,4500.79,164.45845703124996,164.45845703124996,True
2019-01-02 18:00:00,5100.55,4279.6767578125,4916.0,636.3232421875,636.3232421875,True
2019-01-02 18:15:00,5100.77,4279.6767578125,4921.73,642.0532421874996,642.0532421874996,True
2019-01-02 18:30:00,4990.57,4165.99853515625,4921.42,755.4214648437501,755.4214648437501,True
2019-01-02 18:45:00,4942.68,4160.224609375,4921.45,761.2253906249998,761.2253906249998,True
2019-01-02 19:00:00,4942.36,4160.224609375,4469.29,309.06539062499996,309.06539062499996,True
2019-01-02 19:15:00,5041.92,4208.72021484375,4200.05,-8.670214843749818,8.670214843749818,True
2019-01-02 19:30:00,4500.15,3666.7197265625,4000.75,334.0302734375,334.0302734375,True
2019-01-02 19:45:00,4249.94,3533.89599609375,3740.8,206.90400390625018,206.90400390625018,True
2019-01-02 20:00:00,4000.96,3416.68310546875,4000.09,583.4068945312501,583.4068945312501,True
2019-01-02 20:15:00,3600.53,3003.296875,3960.38,957.0831250000001,957.0831250000001,False
2019-01-02 20:30:00,3594.48,3003.296875,3628.37,625.0731249999999,625.0731249999999,False
2019-01-02 20:45:00,3448.45,2916.950927734375,3590.77,673.819072265625,673.819072265625,False
2019-01-02 21:00:00,3061.57,2706.500244140625,3300.28,593.7797558593752,593.7797558593752,False
2019-01-02 21:15:00,2984.24,2633.10302734375,3279.22,646.1169726562498,646.1169726562498,False
2019-01-02 21:30:00,2658.79,2426.6142578125,3065.84,639.2257421875001,639.2257421875001,False
2019-01-02 21:45:00,2459.42,2335.5419921875,2985.9,650.3580078125001,650.3580078125001,False
2019-01-02 22:00:00,2464.0,2335.5419921875,2869.75,534.2080078125,534.2080078125,False
2019-01-02 22:15:00,2402.93,2309.304931640625,2805.45,496.1450683593748,496.1450683593748,False
2019-01-02 22:30:00,2683.15,2426.6142578125,2402.4,-24.21425781249991,24.21425781249991,True
2019-01-02 22:45:00,2763.92,2475.493408203125,2220.53,-254.9634082031248,254.9634082031248,True
2019-01-02 23:00:00,2503.5,2351.57275390625,1999.42,-352.1527539062499,352.1527539062499,True
2019-01-02 23:15:00,2584.47,2416.851806640625,1999.69,-417.16180664062495,417.16180664062495,True
2019-01-02 23:30:00,2500.91,2351.57275390625,1999.87,-351.7027539062501,351.7027539062501,True
2019-01-02 23:45:00,2402.81,2309.304931640625,1999.52,-309.784931640625,309.784931640625,True
2019-01-03 00:00:00,1999.41,2366.673095703125,2240.62,-126.05309570312511,126.05309570312511,True
2019-01-03 00:15:00,1999.09,2274.67724609375,2220.59,-54.087246093749854,54.087246093749854,True
2019-01-03 00:30:00,1840.98,2274.67724609375,2197.66,-77.01724609375015,77.01724609375015,True
2019-01-03 00:45:00,1796.5,2274.67724609375,1999.88,-274.7972460937499,274.7972460937499,True
2019-01-03 01:00:00,1749.94,2274.67724609375,1999.37,-275.3072460937501,275.3072460937501,True
2019-01-03 01:15:00,1749.76,2274.67724609375,1999.07,-275.60724609375006,275.60724609375006,True
2019-01-03 01:30:00,1749.41,2274.67724609375,1999.03,-275.64724609375,275.64724609375,True
2019-01-03 01:45:00,1749.25,2274.67724609375,1890.8,-383.87724609375005,383.87724609375005,True
2019-01-03 02:00:00,1749.3,2274.67724609375,1830.83,-443.8472460937501,443.8472460937501,True
2019-01-03 02:15:00,1749.25,2274.67724609375,1830.75,-443.92724609375,443.92724609375,True
2019-01-03 02:30:00,1749.2,2274.67724609375,1830.9,-443.7772460937499,443.7772460937499,True
2019-01-03 02:45:00,1749.12,2274.67724609375,1830.8,-443.87724609375005,443.87724609375005,True
2019-01-03 03:00:00,1749.01,2274.67724609375,1830.47,-444.20724609375,444.20724609375,True
2019-01-03 03:15:00,1749.13,2274.67724609375,1954.35,-320.3272460937501,320.3272460937501,True
2019-01-03 03:30:00,1749.2,2274.67724609375,1900.67,-374.0072460937499,374.0072460937499,True
2019-01-03 03:45:00,1749.27,2274.67724609375,1900.78,-373.89724609375,373.89724609375,True
2019-01-03 04:00:00,1749.09,2274.67724609375,1918.53,-356.14724609375,356.14724609375,True
2019-01-03 04:15:00,1749.25,2274.67724609375,1950.79,-323.88724609375004,323.88724609375004,True
2019-01-03 04:30:00,1749.98,2274.67724609375,1956.84,-317.8372460937501,317.8372460937501,True
2019-01-03 04:45:00,1800.12,2274.67724609375,1964.83,-309.8472460937501,309.8472460937501,True
2019-01-03 05:00:00,1953.06,2274.67724609375,2016.84,-257.8372460937501,257.8372460937501,True
2019-01-03 05:15:00,1999.15,2274.67724609375,2649.8,375.1227539062502,375.1227539062502,True
2019-01-03 05:30:00,1899.62,2274.67724609375,2674.79,400.11275390624996,400.11275390624996,True
2019-01-03 05:45:00,1830.87,2274.67724609375,2737.67,462.9927539062501,462.9927539062501,True
2019-01-03 06:00:00,1999.43,2274.67724609375,3050.34,775.6627539062501,775.6627539062501,True
2019-01-03 06:15:00,3000.67,2538.509521484375,3546.67,1008.1604785156251,1008.1604785156251,False
2019-01-03 06:30:00,3174.65,2830.9365234375,3979.32,1148.3834765625002,1148.3834765625002,False
2019-01-03 06:45:00,3549.02,2977.476318359375,4063.54,1086.063681640625,1086.063681640625,False
2019-01-03 07:00:00,3667.77,3230.71044921875,4500.27,1269.5595507812504,1269.5595507812504,False
2019-01-03 07:15:00,3682.74,3298.9931640625,4500.97,1201.9768359375003,1201.9768359375003,False
2019-01-03 07:30:00,4068.03,3478.76123046875,5110.25,1631.48876953125,1631.48876953125,False
2019-01-03 07:45:00,4400.35,3622.819091796875,5510.98,1888.1609082031246,1888.1609082031246,False
2019-01-03 08:00:00,4921.96,4157.44384765625,6119.92,1962.47615234375,1962.47615234375,False
2019-01-03 08:15:00,4800.99,4395.66748046875,5250.62,854.9525195312499,854.9525195312499,False
2019-01-03 08:30:00,4544.3,3994.01806640625,5250.44,1256.4219335937496,1256.4219335937496,False
2019-01-03 08:45:00,4750.19,4121.22216796875,4999.98,878.7578320312496,878.7578320312496,False
2019-01-03 09:00:00,5050.81,4263.22119140625,5630.54,1367.31880859375,1367.31880859375,False
2019-01-03 09:15:00,4999.72,4519.62255859375,5989.54,1469.91744140625,1469.91744140625,False
2019-01-03 09:30:00,4990.76,4472.35205078125,6027.7,1555.3479492187498,1555.3479492187498,False
2019-01-03 09:45:00,4990.55,4472.35205078125,6282.17,1809.81794921875,1809.81794921875,False
2019-01-03 10:00:00,4999.09,4472.35205078125,5901.15,1428.7979492187496,1428.7979492187496,False
2019-01-03 10:15:00,4999.46,4472.35205078125,5785.42,1313.06794921875,1313.06794921875,False
2019-01-03 10:30:00,4990.55,4472.35205078125,5526.0,1053.64794921875,1053.64794921875,False
2019-01-03 10:45:00,4990.64,4472.35205078125,5540.5,1068.14794921875,1068.14794921875,False
2019-01-03 11:00:00,4510.52,4167.66064453125,5000.18,832.5193554687503,832.5193554687503,False
2019-01-03 11:15:00,4853.5,4164.82177734375,5441.0,1276.17822265625,1276.17822265625,False
2019-01-03 11:30:00,4300.55,3886.85791015625,4999.97,1113.1120898437503,1113.1120898437503,False
2019-01-03 11:45:00,3999.27,3745.31884765625,4893.25,1147.93115234375,1147.93115234375,False
2019-01-03 12:00:00,3980.89,3549.246337890625,4781.31,1232.0636621093754,1232.0636621093754,False
2019-01-03 12:15:00,3950.83,3546.272216796875,4761.47,1215.1977832031253,1215.1977832031253,False
2019-01-03 12:30:00,3551.6,3380.599365234375,4393.81,1013.2106347656254,1013.2106347656254,False
2019-01-03 12:45:00,3499.57,3196.48779296875,4249.25,1052.76220703125,1052.76220703125,False
2019-01-03 13:00:00,3117.47,3067.80322265625,3730.5,662.69677734375,662.69677734375,False
2019-01-03 13:15:00,3019.9,2824.337646484375,3511.5,687.162353515625,687.162353515625,False
2019-01-03 13:30:00,2999.76,2786.074951171875,3400.79,614.715048828125,614.715048828125,False
2019-01-03 13:45:00,2910.97,2725.122314453125,3279.22,554.0976855468748,554.0976855468748,False
2019-01-03 14:00:00,2850.57,2684.826416015625,3300.97,616.1435839843748,616.1435839843748,False
2019-01-03 14:15:00,2999.25,2706.3408203125,3400.9,694.5591796875001,694.5591796875001,False
2019-01-03 14:30:00,2999.45,2754.46337890625,3400.7,646.2366210937498,646.2366210937498,False
2019-01-03 14:45:00,2999.69,2754.46337890625,3499.4,744.9366210937501,744.9366210937501,False
2019-01-03 15:00:00,2999.73,2754.46337890625,3727.38,972.9166210937501,972.9166210937501,False
2019-01-03 15:15:00,3108.57,2786.109130859375,3800.41,1014.3008691406249,1014.3008691406249,False
2019-01-03 15:30:00,3151.4,2854.811279296875,3967.08,1112.268720703125,1112.268720703125,False
2019-01-03 15:45:00,3166.9,2855.81396484375,3979.21,1123.39603515625,1123.39603515625,False
2019-01-03 16:00:00,3400.35,2891.922119140625,4179.67,1287.747880859375,1287.747880859375,False
2019-01-03 16:15:00,3500.36,3067.169921875,4159.8,1092.6300781250002,1092.6300781250002,False
2019-01-03 16:30:00,3566.38,3188.296630859375,4179.03,990.7333691406247,990.7333691406247,False
2019-01-03 16:45:00,4068.19,3426.249755859375,4335.56,909.3102441406254,909.3102441406254,False
2019-01-03 17:00:00,3819.06,3484.093017578125,4249.4,765.3069824218746,765.3069824218746,False
2019-01-03 17:15:00,4000.02,3499.529541015625,4669.7,1170.1704589843748,1170.1704589843748,False
2019-01-03 17:30:00,4300.14,3558.253173828125,4952.39,1394.1368261718753,1394.1368261718753,False
2019-01-03 17:45:00,4500.79,3819.28857421875,5010.84,1191.5514257812501,1191.5514257812501,False
2019-01-03 18:00:00,4916.0,4188.294921875,4999.27,810.9750781250004,810.9750781250004,False
2019-01-03 18:15:00,4921.73,4416.13720703125,5100.28,684.1427929687497,684.1427929687497,False
2019-01-03 18:30:00,4921.42,4416.13720703125,5489.14,1073.0027929687503,1073.0027929687503,False
2019-01-03 18:45:00,4921.45,4416.13720703125,5510.5,1094.36279296875,1094.36279296875,False
2019-01-03 19:00:00,4469.29,4049.322509765625,5510.38,1461.057490234375,1461.057490234375,False
2019-01-03 19:15:00,4200.05,3803.220703125,5489.33,1686.109296875,1686.109296875,False
2019-01-03 19:30:00,4000.75,3723.433349609375,5250.59,1527.1566503906251,1527.1566503906251,False
2019-01-03 19:45:00,3740.8,3462.187255859375,4990.49,1528.3027441406248,1528.3027441406248,False
2019-01-03 20:00:00,4000.09,3471.480712890625,4750.89,1279.4092871093753,1279.4092871093753,False
2019-01-03 20:15:00,3960.38,3540.15283203125,4250.69,710.5371679687496,710.5371679687496,False
2019-01-03 20:30:00,3628.37,3406.2880859375,4056.4,650.1119140625001,650.1119140625001,False
2019-01-03 20:45:00,3590.77,3220.588134765625,3798.27,577.681865234375,577.681865234375,False
2019-01-03 21:00:00,3300.28,3140.166748046875,3500.76,360.5932519531252,360.5932519531252,False
2019-01-03 21:15:00,3279.22,2949.203369140625,3500.29,551.086630859375,551.086630859375,False
2019-01-03 21:30:00,3065.84,2913.669921875,3200.11,286.4400781250001,286.4400781250001,False
2019-01-03 21:45:00,2985.9,2796.101318359375,3279.13,483.0286816406251,483.0286816406251,False
2019-01-03 22:00:00,2869.75,2709.380859375,2985.55,276.1691406250002,276.1691406250002,False
2019-01-03 22:15:00,2805.45,2655.3994140625,2500.2,-155.19941406250018,155.19941406250018,True
2019-01-03 22:30:00,2402.4,2602.93505859375,2250.46,-352.47505859374996,352.47505859374996,False
2019-01-03 22:45:00,2220.53,2366.673095703125,2220.99,-145.68309570312522,145.68309570312522,True
2019-01-03 23:00:00,1999.42,2339.625732421875,2220.76,-118.86573242187478,118.86573242187478,True
2019-01-03 23:15:00,1999.69,2285.38525390625,2240.02,-45.36525390625002,45.36525390625002,True
2019-01-03 23:30:00,1999.87,2285.38525390625,2230.5,-54.88525390625,54.88525390625,True
2019-01-03 23:45:00,1999.52,2285.38525390625,2295.5,10.11474609375,10.11474609375,True
2019-01-04 00:00:00,2240.62,2272.782958984375,,,,False
2019-01-04 00:15:00,2220.59,2360.48486328125,,,,False
2019-01-04 00:30:00,2197.66,2355.84716796875,,,,False
2019-01-04 00:45:00,1999.88,2313.85595703125,,,,False
2019-01-04 01:00:00,1999.37,2272.782958984375,,,,False
2019-01-04 01:15:00,1999.07,2272.782958984375,,,,False
2019-01-04 01:30:00,1999.03,2272.782958984375,,,,False
2019-01-04 01:45:00,1890.8,2272.782958984375,,,,False
2019-01-04 02:00:00,1830.83,2272.782958984375,,,,False
2019-01-04 02:15:00,1830.75,2272.782958984375,,,,False
2019-01-04 02:30:00,1830.9,2272.782958984375,,,,False
2019-01-04 02:45:00,1830.8,2272.782958984375,,,,False
2019-01-04 03:00:00,1830.47,2272.782958984375,,,,False
2019-01-04 03:15:00,1954.35,2272.782958984375,,,,False
2019-01-04 03:30:00,1900.67,2272.782958984375,,,,False
2019-01-04 03:45:00,1900.78,2272.782958984375,,,,False
2019-01-04 04:00:00,1918.53,2272.782958984375,,,,False
2019-01-04 04:15:00,1950.79,2272.782958984375,,,,False
2019-01-04 04:30:00,1956.84,2272.782958984375,,,,False
2019-01-04 04:45:00,1964.83,2272.782958984375,,,,False
2019-01-04 05:00:00,2016.84,2272.782958984375,,,,False
2019-01-04 05:15:00,2649.8,2327.242431640625,,,,False
2019-01-04 05:30:00,2674.79,2620.92333984375,,,,False
2019-01-04 05:45:00,2737.67,2620.92333984375,,,,False
2019-01-04 06:00:00,3050.34,2703.188720703125,,,,False
2019-01-04 06:15:00,3546.67,2944.011962890625,,,,False
2019-01-04 06:30:00,3979.32,3404.768310546875,,,,False
2019-01-04 06:45:00,4063.54,3591.92919921875,,,,False
2019-01-04 07:00:00,4500.27,3669.005859375,,,,False
2019-01-04 07:15:00,4500.97,3865.650146484375,,,,False
2019-01-04 07:30:00,5110.25,4217.2822265625,,,,False
2019-01-04 07:45:00,5510.98,4629.9619140625,,,,False
2019-01-04 08:00:00,6119.92,4632.53515625,,,,False
2019-01-04 08:15:00,5250.62,4601.98876953125,,,,False
2019-01-04 08:30:00,5250.44,4613.78857421875,,,,False
2019-01-04 08:45:00,4999.98,4620.14990234375,,,,False
2019-01-04 09:00:00,5630.54,4528.26904296875,,,,False
2019-01-04 09:15:00,5989.54,4628.14501953125,,,,False
2019-01-04 09:30:00,6027.7,4806.18310546875,,,,False
2019-01-04 09:45:00,6282.17,4806.18310546875,,,,False
2019-01-04 10:00:00,5901.15,4680.0,,,,False
2019-01-04 10:15:00,5785.42,4785.70947265625,,,,False
2019-01-04 10:30:00,5526.0,4642.89892578125,,,,False
2019-01-04 10:45:00,5540.5,4605.0712890625,,,,False
2019-01-04 11:00:00,5000.18,4576.64892578125,,,,False
2019-01-04 11:15:00,5441.0,4497.11181640625,,,,False
2019-01-04 11:30:00,4999.97,4624.82666015625,,,,False
2019-01-04 11:45:00,4893.25,4478.23486328125,,,,False
2019-01-04 12:00:00,4781.31,4461.45556640625,,,,False
2019-01-04 12:15:00,4761.47,4244.28369140625,,,,False
2019-01-04 12:30:00,4393.81,3961.825927734375,,,,False
2019-01-04 12:45:00,4249.25,3852.99755859375,,,,False
2019-01-04 13:00:00,3730.5,3656.661376953125,,,,False
2019-01-04 13:15:00,3511.5,3356.40673828125,,,,False
2019-01-04 13:30:00,3400.79,3233.3974609375,,,,False
2019-01-04 13:45:00,3279.22,3204.200927734375,,,,False
2019-01-04 14:00:00,3300.97,3006.06640625,,,,False
2019-01-04 14:15:00,3400.9,3043.885498046875,,,,False
2019-01-04 14:30:00,3400.7,3214.866943359375,,,,False
2019-01-04 14:45:00,3499.4,3249.0927734375,,,,False
2019-01-04 15:00:00,3727.38,3289.46875,,,,False
2019-01-04 15:15:00,3800.41,3418.89013671875,,,,False
2019-01-04 15:30:00,3967.08,3485.54150390625,,,,False
2019-01-04 15:45:00,3979.21,3570.44775390625,,,,False
2019-01-04 16:00:00,4179.67,3616.959716796875,,,,False
2019-01-04 16:15:00,4159.8,3784.6015625,,,,False
2019-01-04 16:30:00,4179.03,3748.087890625,,,,False
2019-01-04 16:45:00,4335.56,3755.97705078125,,,,False
2019-01-04 17:00:00,4249.4,3841.96826171875,,,,False
2019-01-04 17:15:00,4669.7,4050.09619140625,,,,False
2019-01-04 17:30:00,4952.39,4290.509765625,,,,False
2019-01-04 17:45:00,5010.84,4470.5986328125,,,,False
2019-01-04 18:00:00,4999.27,4600.5849609375,,,,False
2019-01-04 18:15:00,5100.28,4480.86181640625,,,,False
2019-01-04 18:30:00,5489.14,4623.22314453125,,,,False
2019-01-04 18:45:00,5510.5,4653.40673828125,,,,False
2019-01-04 19:00:00,5510.38,4637.65576171875,,,,False
2019-01-04 19:15:00,5489.33,4637.65576171875,,,,False
2019-01-04 19:30:00,5250.59,4624.4072265625,,,,False
2019-01-04 19:45:00,4990.49,4637.12109375,,,,False
2019-01-04 20:00:00,4750.89,4442.01123046875,,,,False
2019-01-04 20:15:00,4250.69,3953.42919921875,,,,False
2019-01-04 20:30:00,4056.4,3781.45654296875,,,,False
2019-01-04 20:45:00,3798.27,3563.43408203125,,,,False
2019-01-04 21:00:00,3500.76,3384.772216796875,,,,False
2019-01-04 21:15:00,3500.29,3266.059814453125,,,,False
2019-01-04 21:30:00,3200.11,3206.2900390625,,,,False
2019-01-04 21:45:00,3279.13,2940.13134765625,,,,False
2019-01-04 22:00:00,2985.55,2970.1103515625,,,,False
2019-01-04 22:15:00,2500.2,2759.211669921875,,,,False
2019-01-04 22:30:00,2250.46,2451.080322265625,,,,False
2019-01-04 22:45:00,2220.99,2365.57177734375,,,,False
2019-01-04 23:00:00,2220.76,2371.64208984375,,,,False
2019-01-04 23:15:00,2240.02,2371.64208984375,,,,False
2019-01-04 23:30:00,2230.5,2376.27978515625,,,,False
2019-01-04 23:45:00,2295.5,2376.27978515625,,,,False
2019-01-02 00:00:00,2410.32,2380.8798828125,1999.41,-381.4698828124999,381.4698828124999,True
2019-01-02 00:15:00,2402.82,2412.67919921875,1999.09,-413.5891992187501,413.5891992187501,False
2019-01-02 00:30:00,2402.8,2412.67919921875,1840.98,-571.69919921875,571.69919921875,False
2019-01-02 00:45:00,2070.61,2412.67919921875,1796.5,-616.17919921875,616.17919921875,False
2019-01-02 01:00:00,1999.8,2287.2021484375,1749.94,-537.2621484375,537.2621484375,False
2019-01-02 01:15:00,1999.53,2278.599609375,1749.76,-528.839609375,528.839609375,False
2019-01-02 01:30:00,1950.24,2278.599609375,1749.41,-529.1896093749999,529.1896093749999,False
