datetime,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
2018-06-03,810970.3,1191378.4,735911.91,735911.89,3482.7014583333334,3482.7014583333334
2018-06-04,791265.0,1211246.0,716784.87,716784.85,3405.8406250000003,3405.8406250000003
2018-06-05,846244.1,1136274.4,752590.03,752590.04,3492.7660416666663,3492.7660416666663
2018-06-06,775153.8,1031783.8,680250.24,679462.82,3476.7198958333333,3476.7198958333333
2018-06-07,750778.2,1065277.2,670288.78,670288.78,3293.2724999999996,3293.2724999999996
2018-06-08,840626.2,1091905.1,727719.18,727719.2,3625.0678125,3625.0678125
2018-06-09,764383.7,1047287.4,671615.47,671615.49,3446.276875,3446.276875
2018-06-10,656601.8,1230825.9,593647.38,593647.38,2932.1684375,2932.1684375
2018-06-11,701619.7,1267157.6,647531.46,647531.45,2795.793229166667,2795.793229166667
2018-06-12,791348.6,1202769.1,704974.91,704974.91,3057.438020833333,3057.438020833333
2018-06-13,712363.1,1247000.6,646547.06,646547.0700000001,2869.7081249999997,2869.7081249999997
2018-06-14,780322.0,1164287.5,679468.4400000001,679468.45,3160.5515625000003,3160.5515625000003
2018-06-15,767525.1,935445.8,584629.56,584629.56,3420.6390625,3420.6390625
2018-06-16,751231.3,930511.8,610982.12,610982.16,3745.7630208333335,3745.7630208333335
2018-06-17,678692.9,1049596.0,591335.58,591335.6,3276.793333333333,3276.793333333333
2018-06-18,743203.4,931735.8,611289.9,611289.91,3804.5495833333334,3804.5495833333334
2018-06-19,826605.4,855095.1,649632.56,649632.56,4380.9075,4380.9075
2018-06-20,988370.4,909554.3,775219.97,775219.99,4868.936875,4868.936875
2018-06-21,1050221.5,793037.4,689640.16,689640.15,5287.945,5287.945
2018-06-22,1061897.6,756853.5,687983.68,687983.6900000001,5996.90875,5996.90875
2018-06-23,1032702.2,909036.2,792061.21,753975.66,5655.687291666666,5655.687291666666
2018-06-24,696992.5,1184591.6,618989.55,601676.02,3058.766145833333,3058.766145833333
2018-06-25,779704.8,1076707.1,643590.95,634802.76,3627.7510416666664,3627.7510416666664
2018-06-26,632315.3,1108380.5,552456.08,543701.04,3114.1687500000003,3114.1687500000003
2018-06-27,609630.6,1137143.8,539639.0,533751.96,2985.0578124999997,2985.0578124999997
2018-06-28,653620.1,1157736.0,579594.03,579594.03,3011.095520833333,3011.095520833333
2018-06-29,653639.2,1112319.0,578303.55,579640.49,2990.198854166667,2990.198854166667
2018-06-30,685381.2,1138808.9,620031.5,620031.49,2857.027604166667,2857.027604166667
2018-07-01,649288.5,1138498.6,584441.76,570773.3,2897.539375,2897.539375
2018-07-02,703919.4,900474.2,564650.56,564379.45,3600.5134375,3600.5134375
2018-07-03,612970.3,998687.1,507284.44,506643.64,3579.7533333333336,3579.7533333333336
2018-07-04,485855.4,957825.3,407307.03,407307.04,3051.3233333333333,3051.3233333333333
2018-07-05,467250.5,904973.1,405824.39,405824.4,2858.4457291666663,2858.4457291666663
2018-07-06,619304.6,869053.8,459971.26,483693.66,3453.2634375,3453.2634375
2018-07-07,721246.7,885823.9,555744.73,555744.73,3867.338125,3867.338125
2018-07-08,598840.5,977949.3,501206.09,498025.68,3198.4755208333336,3198.4755208333336
2018-07-09,832439.6,788942.5,567142.05,566795.34,4257.920416666667,4257.920416666667
2018-07-10,811350.8,812023.0,606082.65,577261.21,4298.529270833334,4298.529270833334
2018-07-11,769925.2,947095.1,617586.95,582413.33,3940.906875,3940.906875
2018-07-12,801146.6,943517.3,642716.9,639469.94,3816.3387500000003,3816.3387500000003
2018-07-13,796146.1,915803.9,617975.46,617975.46,3992.6548958333333,3992.6548958333333
2018-07-14,738961.8,896580.1,598261.26,598261.28,4010.1216666666664,4010.1216666666664
2018-07-15,659513.5,944864.9,551568.16,551568.17,3604.0710416666666,3604.0710416666666
2018-07-16,642617.5,893420.7,511813.36,511813.37,3866.5105208333334,3866.5105208333334
2018-07-17,616305.2,887080.6,502009.3,497015.93,3662.3710416666668,3662.3710416666668
2018-07-18,599814.8,994575.4,508549.15,507099.24,3172.5437500000003,3172.5437500000003
2018-07-19,679241.4,978397.3,566111.83,566111.83,3549.5990625,3549.5990625
2018-07-20,727638.2,929532.9,586351.12,586351.14,3978.7826041666667,3978.7826041666667
2018-07-21,669685.4,911969.8,554745.63,554745.65,3700.619166666667,3700.619166666667
2018-07-22,483554.6,1174653.3,442382.38,442382.38,2674.4116666666664,2674.4116666666664
2018-07-23,493908.1,1019180.1,430088.79,422283.15,2871.1313541666664,2871.1313541666664
2018-07-24,525240.9,899174.0,443268.05,443268.04,3129.183333333333,3129.183333333333
2018-07-25,586801.5,950402.8,482401.98,482401.98,3237.6865624999996,3237.6865624999996
2018-07-26,553394.1,966046.8,462405.28,462405.25,3028.5264583333333,3028.5264583333333
2018-07-27,551165.7,1080461.3,468926.47,468926.48,2907.139375,2907.139375
2018-07-28,599356.2,1010604.7,506452.77,506452.79,3045.2084375,3045.2084375
2018-07-29,574575.9,1050024.2,494566.12,494566.14,2872.1510416666665,2872.1510416666665
2018-07-30,651910.7,841861.5,528143.38,526190.99,3529.1444791666668,3529.1444791666668
2018-07-31,701301.9,878675.0,568968.21,513028.68,3654.8662499999996,3654.8662499999996
